cycle,Voltages,C_rate,D_rate,Tem,Capacity
1,"[4.1958561 4.194675  4.1939659 4.1934147 4.1929817 4.1923122 4.1917605
 4.1914458 4.1907368 4.1904216 4.1900673 4.1895947 4.1894765 4.1890831
 4.188807  4.1886497 4.1882167 4.1879802 4.1876259 4.1875472 4.1871138
 4.186996  4.1867595 4.1864839 4.1863265 4.1862082 4.185854  4.185854
 4.1855779 4.1852632 4.1853814 4.1851053 4.1851845 4.1847906 4.1847906
 4.1845937 4.1844358 4.1844754 4.1840425 4.1841211 4.1840029 4.1840425
 4.1838059 4.183609  4.1834517 4.1835699 4.1832151 4.1830182 4.1832151
 4.1830974 4.1829004 4.1828609 4.1825852 4.1827035 4.1823096 4.182467
 4.1823096 4.1823487 4.1820731]",0.5,1,25,2487.412028384874
2,"[4.1956592 4.1945963 4.1940842 4.1934147 4.1925879 4.1921544 4.1916032
 4.1911702 4.1907763 4.1902642 4.1897917 4.1895947 4.18928   4.1888466
 4.188571  4.188138  4.1879802 4.1877046 4.1875863 4.1872716 4.1869168
 4.186799  4.1865234 4.1865234 4.1863656 4.18609   4.1860113 4.1856961
 4.1854205 4.1853023 4.1852632 4.1849875 4.1846724 4.1847119 4.184751
 4.1844754 4.1843967 4.1841211 4.1841211 4.1838846 4.1838455 4.1838455
 4.1838455 4.1836486 4.1836877 4.183176  4.1833334 4.1829395 4.1829395
 4.1830578 4.1828213 4.1827035 4.1826248 4.1826248 4.1827035 4.1825066
 4.182467  4.1822701 4.1822309]",0.5,1,25,2485.742379809024
3,"[4.1959743 4.1947536 4.1940055 4.193336  4.1927848 4.1922727 4.1916819
 4.1911702 4.1908154 4.1904612 4.1900673 4.189713  4.1893978 4.1890435
 4.1886497 4.1882954 4.1881771 4.1878619 4.1876259 4.1873894 4.1871138
 4.1870747 4.1868777 4.1864443 4.1865234 4.18609   4.1859326 4.185657
 4.1854601 4.1854601 4.1852236 4.1851053 4.1850266 4.184948  4.1847119
 4.1847119 4.1844358 4.1842785 4.1842394 4.1840816 4.1840029 4.1840029
 4.1838455 4.1835699 4.1836486 4.1834121 4.1832151 4.1832547 4.1833334
 4.1830578 4.1829395 4.1828609 4.1828213 4.1828609 4.1825852 4.1825852
 4.1823487 4.1823883 4.1824279]",0.5,1,25,2482.907920107015
4,"[4.1960139 4.1950293 4.1941628 4.193336  4.1925483 4.1921544 4.1918788
 4.1913276 4.1907368 4.1905398 4.1900673 4.189713  4.1893191 4.1890831
 4.1888466 4.1886106 4.1881771 4.1880984 4.1875863 4.1875472 4.1870747
 4.1870351 4.1868382 4.1866021 4.1864052 4.1861296 4.1861296 4.1859326
 4.1856961 4.1854992 4.1853814 4.1853023 4.1851449 4.1848297 4.1849089
 4.184751  4.184515  4.1843181 4.1842394 4.1843572 4.1840425 4.1840029
 4.1840425 4.1837273 4.1836877 4.1834517 4.183373  4.1834121 4.1830578
 4.1832938 4.1830578 4.1832151 4.1829004 4.1829395 4.1827035 4.1825457
 4.1825457 4.1825066 4.1825066]",0.5,1,25,2480.080264856227
5,"[4.1957383 4.1947536 4.1939268 4.1931391 4.1928239 4.192194  4.1916032
 4.191288  4.1906581 4.1903429 4.1900282 4.1896343 4.18928   4.1889253
 4.188571  4.188374  4.1880198 4.1877832 4.1875472 4.1874685 4.1869564
 4.1869564 4.186799  4.1864839 4.1864052 4.18609   4.18609   4.185657
 4.1857357 4.1854205 4.1851449 4.1852632 4.1850266 4.1848297 4.184751
 4.1846724 4.184515  4.1844358 4.1841602 4.1841602 4.1839633 4.1838846
 4.1837273 4.1838059 4.1836877 4.1834908 4.1834121 4.1833334 4.1833334
 4.1832151 4.1832151 4.1828213 4.1828213 4.1827426 4.1826248 4.1825066
 4.1825457 4.1826639 4.1823883]",0.5,1,25,2477.6077969489197
6,"[4.1959348 4.1947141 4.1940055 4.1934543 4.1927452 4.1922331 4.1916428
 4.1910911 4.1909337 4.1903429 4.1900673 4.189713  4.1891618 4.1889253
 4.1886892 4.1882558 4.188138  4.1877832 4.1876259 4.1873107 4.1870747
 4.1868382 4.1865625 4.1865625 4.1863656 4.1862082 4.1859326 4.1856961
 4.1855779 4.1855388 4.1852236 4.1851845 4.1849875 4.1846724 4.1846724
 4.184515  4.184515  4.1842394 4.1842785 4.1840816 4.1839242 4.1837668
 4.1837273 4.1838846 4.1835699 4.1835303 4.1833334 4.1833334 4.1831365
 4.1830578 4.1830974 4.1830578 4.1829004 4.1826639 4.1827426 4.1825852
 4.1826248 4.1826248 4.1823096]",0.5,1,25,2475.412176726209
7,"[4.1956987 4.1947536 4.1939268 4.1930995 4.1926665 4.1918788 4.1916032
 4.1910911 4.1907368 4.1902642 4.1899099 4.1894374 4.1890831 4.1888466
 4.1884527 4.1880984 4.1880198 4.1876655 4.1875076 4.1871533 4.186996
 4.1868777 4.1865625 4.1862473 4.1862473 4.1860113 4.185657  4.1855779
 4.1853814 4.1852632 4.1849089 4.1850266 4.1848297 4.1846328 4.1845541
 4.1843572 4.1843572 4.1841602 4.1839242 4.1838455 4.1837273 4.1838455
 4.1835699 4.1834908 4.1832938 4.1832547 4.1831365 4.1830182 4.1830578
 4.1830974 4.1829004 4.1828213 4.1827035 4.1825066 4.1826639 4.1823487
 4.182467  4.1823096 4.1821914]",0.5,1,25,2473.126493564047
8,"[4.1959743 4.1945567 4.193769  4.1930995 4.19243   4.1920757 4.1914458
 4.1909337 4.1904216 4.1903038 4.189713  4.1892009 4.1889648 4.188807
 4.1884923 4.188138  4.1877832 4.1874685 4.1873503 4.1871533 4.1869564
 4.1865625 4.1862473 4.1862869 4.1858931 4.1856961 4.185657  4.1854992
 4.1854205 4.1851053 4.1851449 4.1848693 4.1845937 4.1844358 4.1844358
 4.1844358 4.1841211 4.1840029 4.1837668 4.1837273 4.1837668 4.1835699
 4.1834908 4.1832938 4.1830974 4.1832547 4.1829395 4.1829395 4.1827426
 4.1827426 4.1827035 4.1826248 4.1827035 4.1824279 4.1823883 4.1821523
 4.1822309 4.1821127 4.1820731]",0.5,1,25,2470.587357949355
9,"[4.1959348 4.1948719 4.1939659 4.1934147 4.1925092 4.1919184 4.1916032
 4.1909733 4.1905794 4.1902251 4.1899886 4.1893191 4.1891618 4.188807
 4.1884527 4.1883345 4.1879411 4.1876655 4.1876259 4.1871533 4.1869168
 4.186996  4.1865625 4.1862473 4.18609   4.1859326 4.1856174 4.1857357
 4.1855388 4.1852632 4.1851449 4.1849875 4.1848297 4.1849089 4.1844358
 4.1843967 4.1843572 4.1841211 4.1840816 4.1841211 4.1838455 4.1836877
 4.1836877 4.1835699 4.1834517 4.183373  4.1832151 4.1831365 4.1828609
 4.1829791 4.1827426 4.1827822 4.1826639 4.1824279 4.1824279 4.1823096
 4.1822701 4.1823096 4.1821523]",0.5,1,25,2469.05150007514
10,"[4.1957383 4.1947536 4.1938477 4.1932964 4.19243   4.1920757 4.1913276
 4.1909733 4.1906581 4.1901069 4.1899099 4.1894374 4.1892009 4.1888862
 4.1884923 4.1880589 4.1878619 4.1877441 4.1873107 4.1870351 4.1869168
 4.1866808 4.1864839 4.1863265 4.1861296 4.1858144 4.1857357 4.1855779
 4.1854992 4.1851053 4.1850266 4.1848297 4.1846724 4.1845541 4.1844754
 4.1843572 4.1841211 4.1840816 4.1840029 4.183609  4.1837668 4.1835699
 4.1834908 4.183373  4.1832547 4.1832938 4.1831365 4.183176  4.1829004
 4.1826639 4.1828213 4.1825852 4.1827822 4.1825457 4.1826248 4.1824279
 4.1823096 4.1820731 4.1820731]",0.5,1,25,2466.2425751041683
